asset_id,location,category,experiment_id,path,purpose,cases,files,links,size_bytes,first_mtime,last_mtime,observed_completeness,checksum_strategy,classification
cine-input-acc8,server-main,dataset,cine-active-acc8,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/CINE_test_acc8,Active CINE 10-case acc8 derived input,10,30,0,10402711468,2026-07-12T08:06:35,2026-07-12T08:32:16,10 descriptors and paired MAT inputs,size+mtime+shape now; SHA256 before move,active
cine-input-acc16,server-main,dataset,cine-active-acc16,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/CINE_test_acc16,Active CINE 10-case acc16 variant using k-space symlinks,10,20,10,614425,2026-07-12T08:50:59,2026-07-12T08:51:05,10 descriptors and masks plus 10 links,hash masks and link targets,active
cine-input-acc24,server-main,dataset,cine-active-acc24,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/CINE_test_acc24,Active CINE 10-case acc24 variant using k-space symlinks,10,20,10,489091,2026-07-12T08:57:36,2026-07-12T08:58:52,10 descriptors and masks plus 10 links,hash masks and link targets,active
cine-h5-input-acc8,server-main,dataset,cine-h5-dmap-acc8,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/h5_converted,CINE H5 dMap and raw VISTA acc8 derived input,10,40,0,10809353028,2026-07-14T20:31:59,2026-07-14T21:09:04,10 descriptors and 30 MAT,size+mtime+shape now; SHA256 before move,completed
cine-h5-input-acc16,server-main,dataset,cine-h5-dmap-acc16,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/h5_converted_acc16,CINE H5 dMap and raw VISTA acc16 variant,10,20,10,707149,2026-07-15T09:16:06,2026-07-15T09:16:17,10 descriptors and masks plus 10 links,hash masks and link targets,completed
cine-h5-input-acc24,server-main,dataset,cine-h5-dmap-acc24,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/h5_converted_acc24,CINE H5 dMap and raw VISTA acc24 variant,10,20,10,544124,2026-07-15T12:33:05,2026-07-15T12:33:23,10 descriptors and masks plus 10 links,hash masks and link targets,completed
cine-dimgc-gt,server-main,ground-truth,cine-active-gt,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/GT_from_dImgC,Active CINE dImgC ground truth,10,10,0,336119629,2026-07-12T06:41:45,2026-07-12T06:42:55,10 MAT,size+mtime+shape now; SHA256 before move,active
cmrx23-lax10-input,server-main,dataset,cmrx23-lax10-acc8-official,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/CMRxRecon2023CINELAX10Acc8Official,CMRxRecon2023 LAX10 official acc8 descriptors and masks,10,21,0,41176,2026-07-16T09:23:19,2026-07-16T09:23:25,10 cases,hash all small files,completed
fastmri-brain-val10-input,server-main,dataset,fastmri-brain-val10,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/FastMRIBrainMulticoilVal10,fastMRI brain multicoil 10-case manifest and raw-data symlinks,10,1,10,12648,2026-07-19T20:08:47,2026-07-19T20:08:47,1 manifest and 10 links,hash manifest and record source targets,completed
cine-output-acc8,server-main,output,cine-active-acc8,/home/students/studxuzho1/NV-Raw2insights-MRI/output/CINE_test_acc8,Active CINE acc8 reconstruction,10,11,0,370867943,2026-07-12T09:21:21,2026-07-12T18:46:16,10 reconstruction MAT and config,SHA256 before archive,active
cine-output-acc16,server-main,output,cine-active-acc16,/home/students/studxuzho1/NV-Raw2insights-MRI/output/CINE_test_acc16,Active CINE acc16 reconstruction,10,11,0,370867945,2026-07-12T10:55:56,2026-07-12T16:17:22,10 reconstruction MAT and config,SHA256 before archive,active
cine-output-acc24,server-main,output,cine-active-acc24,/home/students/studxuzho1/NV-Raw2insights-MRI/output/CINE_test_acc24,Active CINE acc24 reconstruction,10,11,0,370867945,2026-07-12T19:40:36,2026-07-12T23:11:51,10 reconstruction MAT and config,SHA256 before archive,active
cine-h5-output-acc8,server-main,output,cine-h5-dmap-acc8,/home/students/studxuzho1/NV-Raw2insights-MRI/output/h5_converted,CINE dMap raw VISTA acc8 reconstruction,10,11,0,370867939,2026-07-14T22:01:07,2026-07-15T00:58:51,10 reconstruction MAT and config,SHA256 before archive,completed
cine-h5-output-acc16,server-main,output,cine-h5-dmap-acc16,/home/students/studxuzho1/NV-Raw2insights-MRI/output/h5_converted_acc16,CINE dMap raw VISTA acc16 reconstruction,10,11,0,370867951,2026-07-15T09:38:46,2026-07-15T12:32:10,10 reconstruction MAT and config,SHA256 before archive,completed
cine-h5-output-acc24,server-main,output,cine-h5-dmap-acc24,/home/students/studxuzho1/NV-Raw2insights-MRI/output/h5_converted_acc24,CINE dMap raw VISTA acc24 reconstruction,10,11,0,370867951,2026-07-15T12:57:44,2026-07-15T15:50:42,10 reconstruction MAT and config,SHA256 before archive,completed
cmrx23-lax10-output,server-main,output,cmrx23-lax10-acc8-official,/home/students/studxuzho1/NV-Raw2insights-MRI/output/CMRxRecon2023CINELAX10Acc8Official,CMRxRecon2023 official acc8 reconstruction,10,11,0,117708860,2026-07-16T09:33:41,2026-07-16T10:34:12,10 reconstruction MAT and config,SHA256 before archive,completed
fastmri-output-acc8,server-main,output,fastmri-brain-val10-acc8,/home/students/studxuzho1/NV-Raw2insights-MRI/output/FastMRIBrainMulticoilVal10Acc8,fastMRI val10 acc8 reconstruction,10,11,0,93235001,2026-07-19T20:16:48,2026-07-19T21:11:15,10 reconstruction MAT and config,SHA256 before archive,completed
fastmri-output-acc16,server-main,output,fastmri-brain-val10-acc16,/home/students/studxuzho1/NV-Raw2insights-MRI/output/FastMRIBrainMulticoilVal10Acc16,fastMRI val10 acc16 reconstruction,10,11,0,93235003,2026-07-19T21:13:58,2026-07-19T22:03:33,10 reconstruction MAT and config,SHA256 before archive,completed
fastmri-output-acc24,server-main,output,fastmri-brain-val10-acc24,/home/students/studxuzho1/NV-Raw2insights-MRI/output/FastMRIBrainMulticoilVal10Acc24,fastMRI val10 acc24 reconstruction,10,11,0,93235003,2026-07-19T22:07:01,2026-07-19T22:56:37,10 reconstruction MAT and config,SHA256 before archive,completed
cine-generalization-results,server-main,results,cine-vista-generalization-v1,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/CINE_vista_mask_generalization_v1,CINE seed8 acc8-16-24 evaluation,10,165,0,35233753,2026-08-12T10:08:53,2026-08-12T10:56:04,2 CSV and 162 PNG,hash configs and CSV now; PNG manifest on archive,active
